name,tweet,ts
venu,How how are you now? I am in Hyderabad what about you?,2023-05-12 10:15:20
sita,Now i am focus on  pyspark and snowflake what about you?,2023-05-12 11:30:45
ramesh,Enjoying the sunny weather today!,2023-05-12 12:45:55
priya,Just finished reading a great book. Highly recommend it!,2023-05-12 14:20:30
rahul,Excited for the weekend! Any fun plans?,2023-05-12 15:55:10
anu,Feeling grateful for all the blessings in my life.,2023-05-12 17:10:25
sandeep,Working on a challenging project. It's keeping me busy!,2023-05-12 18:40:15
meena,Exploring new recipes in the kitchen. Cooking is my passion.,2023-05-12 20:05:50
arjun,Heading out for a long drive. Can't wait to hit the road!,2023-05-12 21:30:35
neha,Spending quality time with family. It's the best feeling.,2023-05-12 22:55:05
venu,Just watched an amazing movie. Highly recommended!,2023-05-13 08:15:40
sita,Attending a virtual conference. Learning so much!,2023-05-13 09:40:25
ramesh,Enjoying a cup of coffee while reading the morning news.,2023-05-13 11:05:10
priya,Feeling motivated and ready to conquer the day!,2023-05-13 12:30:45
rahul,Starting a new project. Excited about the possibilities!,2023-05-13 14:00:20
anu,Reflecting on the beauty of nature. Grateful for this moment.,2023-05-13 15:25:35
sandeep,Getting ready for a weekend hike. Adventure awaits!,2023-05-13 16:50:55
meena,Attending a yoga class. Finding peace and balance.,2023-05-13 18:20:30
arjun,Enjoying a delicious dinner with friends. Good company, good food!,2023-05-13 19:45:10
neha,Relaxing at home with a good book. Perfect way to unwind.,2023-05-13 21:10:45
venu,Exploring a new hobby. It's never too late to learn something new!,2023-05-14 07:30:55
sita,Had a productive day at work. Feeling accomplished!,2023-05-14 08:55:40
ramesh,Enjoying the sunset at the beach. It's a breathtaking view.,2023-05-14 10:20:25
priya,Spending quality time with my furry friend. Pets bring so much joy!,2023-05-14 11:45:15
rahul,Planning a weekend getaway. Excited for a change of scenery!,2023-05-14 13:15:50
anu,Feeling inspired by the beauty of art. Creativity knows no bounds.,2023-05-14 14:40:35
